Fecha;dias;Temp;Celcius;densidad; brix aprox ;brix refrectometro;Alcolyzer;alcohol aprox; Ph ;lugar;lote;lote1;Acidez Total;T ambiente;Observaciones;Tipo de uva;
02/10/2023;1;69.6;20.88888889;1.09738; 23.20 ;23;-0.08;0; 3.06 ;Laboratorio;1;L1CA;4.6;;Inicio;Uva colombia;
02/10/2023;1;69.2;20.66666667;1.10033; 23.80 ;22;-0.13;0; 3.04 ;Laboratorio;2;L2SA;;;Inicio;Uva colombia;
03/10/2023;2;69.2;20.66666667;1.09008; 21.60 ;21.5;0.81;0.9563; 3.06 ;Laboratorio;1;L1CA;;;;Uva colombia;
03/10/2023;2;69.4;20.77777778;1.09125; 21.80 ;21;1.13;1.18948; 3.04 ;Laboratorio;2;L2SA;;;;Uva colombia;
04/10/2023;3;71.5;21.94444444;1.08709; 21.00 ;19;1.67;1.34799; 3.06 ;Laboratorio;1;L1CA;;20.3;;Uva colombia;
04/10/2023;3;70.7;21.5;1.08067; 19.40 ;20.5;2.14;2.57546; 3.04 ;Laboratorio;2;L2SA;;20.3;;Uva colombia;
05/10/2023;4;71.6;22;1.08360; 20.00 ;18;2.04;1.80518; 3.06 ;Laboratorio;1;L1CA;;;;Uva colombia;
05/10/2023;4;69.2;20.66666667;1.06392; 15.60 ;19.5;2.76;4.76971; 3.04 ;Laboratorio;2;L2SA;;;;Uva colombia;
06/10/2023;5;69.6;20.88888889;1.07672; 18.60 ;18.5;2.99;2.70646; 3.06 ;Laboratorio;1;L1CA;;20.5;;Uva colombia;
06/10/2023;5;71.1;21.72222222;1.04863; 12.00 ;17;3.67;6.7727; 3.06 ;Laboratorio;2;L2SA;;20.5;;Uva colombia;
10/10/2023;9;7.13;-13.81666667;1.06288; 15.20 ;17;4.7;4.5195; 3.07 ;Laboratorio;1;L1CA;;20.1;;Uva colombia;
10/10/2023;9;72.5;22.5;1.04787; 11.80 ;15;5.66;6.87226; 3.06 ;Laboratorio;2;L2SA;;20.1;;Uva colombia;
11/10/2023;10;73;22.77777778;1.05948; 14.60 ;16;5.2;4.9649; 3.09 ;Laboratorio;1;L1CA;;20.1;;Uva colombia;
11/10/2023;10;71.8;22.11111111;1.04363; 10.80 ;13;6.38;7.4277; 3.06 ;Laboratorio;2;L2SA;;20.1;;Uva colombia;
12/10/2023;11;70.8;21.55555556;1.05569; 13.60 ;15;5.64;5.46139; 3.10 ;Laboratorio;1;L1CA;;23.6;;Uva colombia;
12/10/2023;11;70.8;21.55555556;1.04085; 10.20 ;13;6.94;7.79188; 3.09 ;Laboratorio;2;L2SA;;23.6;;Uva colombia;
13/10/2023;12;71.5;21.94444444;1.05333; 13.20 ;15;6.04;5.77055; 3.10 ;Laboratorio;1;L1CA;;20;;Uva colombia;
13/10/2023;12;70.7;21.5;1.03754; 9.40 ;12.5;7.33;8.22549; 3.06 ;Laboratorio;2;L2SA;;20;;Uva colombia;
16/10/2023;15;68.5;20.27777778;1.04515; 11.20 ;15;7.07;6.84213; 3.08 ;Laboratorio;1;L1CA;;20.1;;Uva colombia;
16/10/2023;15;69.5;20.83333333;1.02869; 7.20 ;12;8.53;9.38484; 3.08 ;Laboratorio;2;L2SA;;20.1;;Uva colombia;
17/10/2023;16;67.6;19.77777778;1.04271; 10.60 ;14.5;7.41;7.16177; 3.11 ;Laboratorio;1;L1CA;;20.5;;Uva colombia;
17/10/2023;16;67.6;19.77777778;1.02401; 6.20 ;11;8.38;9.99792; 3.11 ;Laboratorio;2;L2SA;;20.5;;Uva colombia;
18/10/2023;17;68.1;20.05555556;1.03237; 8.20 ;14;7.78;8.51631; 3.10 ;Laboratorio;1;L1CA;;20.5;;Uva colombia;
18/10/2023;17;68;20;1.02066; 5.20 ;11;9.36;10.43677; 3.06 ;Laboratorio;2;L2SA;;20.5;;Uva colombia;
19/10/2023;18;70.5;21.38888889;1.03805; 9.60 ;14;7.87;7.77223; 3.12 ;Laboratorio;1;L1CA;;21.8;;Uva colombia;
19/10/2023;18;70.4;21.33333333;1.01177; 3.00 ;10;9.43;11.60136; 3.07 ;Laboratorio;2;L2SA;;21.8;;Uva colombia;
20/10/2023;19;68.7;20.38888889;0.97177; -   ;13;8.38;16.45491; 3.16 ;Laboratorio;1;L1CA;;21.5;;Uva colombia;
20/10/2023;19;68.1;20.05555556;1.01156; 3.00 ;9.5;10.15;11.62887; 3.13 ;Laboratorio;2;L2SA;;21.5;;Uva colombia;
23/10/2023;22;70.3;21.27777778;1.02866; 7.20 ;12;9.45;9.00232; 3.10 ;Laboratorio;1;L1CA;;20.5;;Uva colombia;
23/10/2023;22;69.7;20.94444444;1.00617; 1.60 ;9;10.91;12.33496; 3.09 ;Laboratorio;2;L2SA;;20.5;;Uva colombia;
24/10/2023;23;69.9;21.05555556;1.02632; 6.60 ;12;9.48;9.30886; 3.13 ;Laboratorio;1;L1CA;;20.9;;Uva colombia;
24/10/2023;23;70.3;21.27777778;1.00463; 0.60 ;8;11.37;12.5367; 3.09 ;Laboratorio;2;L2SA;;20.9;;Uva colombia;
25/10/2023;24;71;21.66666667;1.02458; 6.20 ;11.5;9.87;9.5368; 3.12 ;Laboratorio;1;L1CA;;20.9;;Uva colombia;
25/10/2023;24;70.9;21.61111111;0.99008; -   ;7;11.43;14.44275; 3.09 ;Laboratorio;2;L2SA;;20.9;;Uva colombia;
26/10/2023;25;67.4;19.66666667;1.02134; 5.40 ;11;10.14;9.96124; 3.14 ;Laboratorio;1;L1CA;;19.6;;Uva colombia;
26/10/2023;25;67.5;19.72222222;1.00091; -   ;7;11.92;13.02402; 3.13 ;Laboratorio;2;L2SA;;19.6;;Uva colombia;
30/10/2023;29;65.5;18.61111111;1.06182; 15.00 ;10;10.34;4.65836; 3.13 ;Laboratorio;1;L1CA;;20.1;;Uva colombia;
30/10/2023;29;65.2;18.44444444;0.97560; -   ;5;12.46;16.33963; 3.13 ;Laboratorio;2;L2SA;;20.1;Terminado;Uva colombia;
31/10/2023;30;68;20;0.99052; -   ;10;11.03;13.99866; 3.11 ;Laboratorio;1;L1CA;;20.1;;Uva colombia;
01/11/2023;31;68.8;20.44444444;1.01320; 2.80 ;10;11.35;11.02758; 3.11 ;Laboratorio;1;L1CA;;20.5;;Uva colombia;
07/11/2023;37;70.9;21.61111111;0.99112; -   ;9;12.15;13.92006; 3.09 ;Laboratorio;1;L1CA;;21.6;Terminado;Uva colombia;
